"Date","Price","Open","High","Low","Vol.","Change %"
"31/03/2025","5,611.85","5,527.91","5,627.56","5,488.73","","0.55%"
"28/03/2025","5,580.94","5,679.20","5,685.89","5,572.42","","-1.97%"
"27/03/2025","5,693.31","5,695.64","5,732.28","5,670.94","","-0.33%"
"26/03/2025","5,712.20","5,771.66","5,783.62","5,694.41","","-1.12%"
"25/03/2025","5,776.65","5,775.96","5,786.95","5,760.42","","0.16%"
"24/03/2025","5,767.57","5,718.08","5,775.14","5,718.08","","1.76%"
"21/03/2025","5,667.56","5,630.73","5,670.84","5,603.10","","0.08%"
"20/03/2025","5,662.89","5,646.92","5,711.15","5,632.33","","-0.22%"
"19/03/2025","5,675.29","5,632.37","5,715.33","5,622.20","","1.08%"
"18/03/2025","5,614.66","5,654.53","5,654.53","5,597.76","","-1.07%"
"17/03/2025","5,675.12","5,635.60","5,703.52","5,631.12","","0.64%"
"14/03/2025","5,638.94","5,563.85","5,645.27","5,563.85","","2.13%"
"13/03/2025","5,521.52","5,594.45","5,597.78","5,504.65","","-1.39%"
"12/03/2025","5,599.30","5,624.84","5,642.19","5,546.09","","0.49%"
"11/03/2025","5,572.07","5,603.65","5,636.30","5,528.41","","-0.76%"
"10/03/2025","5,614.56","5,705.37","5,705.37","5,564.02","","-2.70%"
"07/03/2025","5,770.20","5,726.01","5,783.01","5,666.29","","0.55%"
"06/03/2025","5,738.52","5,785.87","5,812.08","5,711.64","","-1.78%"
"05/03/2025","5,842.63","5,781.36","5,860.59","5,742.35","","1.12%"
"04/03/2025","5,778.15","5,811.98","5,865.08","5,732.59","","-1.22%"
"03/03/2025","5,849.72","5,968.33","5,986.09","5,810.91","","-1.76%"
"28/02/2025","5,954.50","5,856.74","5,959.40","5,837.66","","1.59%"
"27/02/2025","5,861.57","5,981.88","5,993.69","5,858.78","","-1.59%"
"26/02/2025","5,956.06","5,970.87","6,009.82","5,932.69","","0.01%"
"25/02/2025","5,955.25","5,982.73","5,992.65","5,908.49","","-0.47%"
"24/02/2025","5,983.25","6,026.69","6,043.65","5,977.83","","-0.50%"
"21/02/2025","6,013.13","6,114.10","6,114.82","6,008.56","","-1.71%"
"20/02/2025","6,117.52","6,134.50","6,134.50","6,084.59","","-0.43%"
"19/02/2025","6,144.15","6,117.76","6,147.43","6,111.15","","0.24%"
"18/02/2025","6,129.58","6,121.60","6,129.63","6,099.51","","0.24%"
"14/02/2025","6,114.63","6,115.52","6,127.47","6,107.62","","-0.01%"
"13/02/2025","6,115.07","6,060.59","6,116.91","6,050.95","","1.04%"
"12/02/2025","6,051.97","6,025.08","6,063.00","6,003.00","","-0.27%"
"11/02/2025","6,068.50","6,049.32","6,076.28","6,042.34","","0.03%"
"10/02/2025","6,066.44","6,046.40","6,073.38","6,044.84","","0.67%"
"07/02/2025","6,025.99","6,083.13","6,101.28","6,019.96","","-0.95%"
"06/02/2025","6,083.57","6,072.22","6,084.03","6,046.83","","0.36%"
"05/02/2025","6,061.48","6,020.45","6,062.86","6,007.06","","0.39%"
"04/02/2025","6,037.88","5,998.14","6,042.48","5,990.87","","0.72%"
"03/02/2025","5,994.57","5,969.65","6,022.13","5,923.93","","-0.76%"
"31/01/2025","6,040.53","6,096.79","6,120.91","6,030.93","","-0.50%"
"30/01/2025","6,071.17","6,050.75","6,086.64","6,027.46","","0.53%"
"29/01/2025","6,039.31","6,057.70","6,062.83","6,012.96","","-0.47%"
"28/01/2025","6,067.70","6,026.97","6,074.54","5,994.63","","0.92%"
"27/01/2025","6,012.28","5,969.04","6,017.17","5,962.92","","-1.46%"
